numero_uai;nature_uai;ministere_tutelle;ministere_tutelle_libe;tutelle_2;tutelle_2_libe;secteur_public_prive;niveau_uai;niveau_uai_libe;commune;commune_libe;denomination_principale;patronyme_uai;numero_siren_siret_uai;date_ouverture;date_fermeture;lieu_dit_uai;adresse_uai;boite_postale_uai;code_postal_uai;localite_acheminement_uai
0511974U;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;51454;Reims;CTR DE FORMATION D'APPRENTIS;DIFCAM BANQUE ET ASSURANCES;34967662700012;33878;;;26 rue ANDRE PINGAT;;51100;REIMS
0512018S;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;51454;Reims;NEOMA BUSINES SCHOOL;CFA REIMS MANAGEMENT;79223746300023;35716;;;59  RUE PIERRE TAITTINGER;CS80032;51726;REIMS CEDEX
0512117Z;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;51058;Bezannes;CTR DE FORMATION D'APPRENTIS;COMMERCE ET DISTRIBUTION AFPAM;30587453900060;39692;;;4  RUE JULES MELINE;;51430;BEZANNES
0512122E;600;06;ministère de l'éducation nationale;;;PU;1;UAI célibataire;51454;Reims;CTR DE FORMATION D APPRENTIS;DE L'ENSEIGNEMENT SUPERIEUR DE;19511296600286;39995;;Bâtiment 4;57 rue Pierre Taittinger;;51571;REIMS CEDEX 2
0512171H;600;06;ministère de l'éducation nationale;;;PU;3;UAI fille;51454;Reims;CTR DE FORMATION D APPRENTIS;DE L'ACADEMIE DE REIMS;18510906300023;43709;;;17 boulevard de la paix;;51722;REIMS CEDEX
0520752K;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;52121;Chaumont;ALMEA FORMATIONS INTERPRO 52;CFA INTERPRO  HAUTE-MARNE;50923283100040;25333;;;1 rue Albert Camus;BP2100;52904;CHAUMONT CEDEX 9
0520758S;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;52121;Chaumont;CTR DE FORMATION D'APPRENTIS H;BTP GRAND EST - LORRAINE 52;78334702400144;25333;;;3 rue Albert Camus;BP2031;52000;CHAUMONT
0520922V;600;03;ministère de l'agriculture;;;PU;3;UAI fille;52125;Chamarandes-Choignes;CTR DE FORMATION D'APPRENTIS;AGRICOLE CHAMARANDES-CHOIGNES;19520727900017;28507;;CHOIGNES;Rue du Lycée;BP2089;52902;CHAUMONT CEDEX 9
0530500F;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;53130;Laval;CTR DE FORMATION D APPRENTIS;URMA-IMA MAYENNE;13002068800102;25702;;;30  BOULEVARD VOLNEY;;53000;LAVAL
0530909A;600;03;ministère de l'agriculture;;;PU;3;UAI fille;53130;Laval;CTR FORMATION APPRENTIS AGRIC.;DE LAVAL;19530081900016;31048;;;321  ROUTE DE SAINT NAZAIRE;BP1319;53013;LAVAL CEDEX
0530973V;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;53130;Laval;CTR DE FORMATION D APPRENTIS;ENSEIG CATHO DE LA MAYENNE;;36404;;;25  RUE DU MANS;;53000;LAVAL
0530981D;600;03;ministère de l'agriculture;;;PR;2;UAI mère;53130;Laval;CTR FORMATION APPRENTIS AGRIC;FEDERATION MFR DE LA MAYENNE;82329862500026;37500;;;Rue Albert Einstein;BP36135;53061;LAVAL CEDEX 9
0531013N;600;03;ministère de l'agriculture;;;PU;2;UAI mère;53185;Pré-en-Pail-Saint-Samson;CTR FORMATION APPRENTIS AGRIC;SANTE ANIMALE PAYS DE LA LOIRE;;39692;;;5  RUE DE LA PETITE VITESSE;;53140;PRE EN PAIL ST SAMSON
