numero_uai;nature_uai;ministere_tutelle;ministere_tutelle_libe;tutelle_2;tutelle_2_libe;secteur_public_prive;niveau_uai;niveau_uai_libe;commune;commune_libe;denomination_principale;patronyme_uai;numero_siren_siret_uai;date_ouverture;date_fermeture;lieu_dit_uai;adresse_uai;boite_postale_uai;code_postal_uai;localite_acheminement_uai
0572741V;600;06;ministère de l'éducation nationale;;;PU;3;UAI fille;57631;Sarreguemines;CTR DE FORMATION D APPRENTIS;HENRI NOMINE;33962605300013;27725;;;Rue JEAN JACQUES KIEFFER;;57200;SARREGUEMINES
0572742W;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;57227;Forbach;CTR DE FORMATION D APPRENTIS;CAMILLE WEISS CH.MET.ART.MOSEL;18572204800054;27725;;;1 rue CAMILLE WEISS;;57600;FORBACH
0572761S;600;06;ministère de l'éducation nationale;;;PU;3;UAI fille;57630;Sarrebourg;CTR DE FORMATION D APPRENTIS;DU LP D.LABROISE;19570095000015;27821;;;22 rue DE LA MESANGE;BP294;57402;SARREBOURG CEDEX
0572820F;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;57480;Montigny-lès-Metz;CTR DE FORMATION D APPRENTIS;BATIMENT AFO-BTP;31339049400026;28241;;MONTIGNY-LES-METZ;154 chemin DE BLORY;BP10009;57151;MARLY CEDEX
0573212G;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;57463;Metz;CTR DE FORMATION D APPRENTIS;CHAMBRE DE COM.ET IND.MOSELLE;18572202200125;31778;;;5 rue CHAPTAL;BP75071;57072;METZ CEDEX 03
0573246U;600;03;ministère de l'agriculture;;;PU;3;UAI fille;57155;Courcelles-Chaussy;CTR FORMATION APPRENTIS AGRIC.;;19570086900017;31656;;;AVENUE DUMONT D URVILLE;;57530;COURCELLES CHAUSSY
0573282H;600;06;ministère de l'éducation nationale;;;PU;3;UAI fille;57463;Metz;CTR DE FORMATION D APPRENTIS;METIERS DE L'HOTELLERIE;19572639300034;32433;;;4 boulevard DE LA DEFENSE;;57000;METZ
0573394E;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;57463;Metz;CTR DE FORMATION D APPRENTIS;METIERS COMMERC.ET FINANCIERS;42017845100019;33848;;;56 avenue André Malraux;BP289;57015;METZ CEDEX 01
0580555N;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;58160;Marzy;CFA;POLYVALENT;77864848500069;28748;;;21 RUE DES CARRIERES;;58180;MARZY
0580739N;600;03;ministère de l'agriculture;;;PU;2;UAI mère;58051;Challuy;CFA;AGRICOLE;19580055200091;31147;;;243 ROUTE DE LYON;;58000;CHALLUY
0581005C;600;06;ministère de l'éducation nationale;35;ministère de la santé et de la solidarité nationale;PR;1;UAI célibataire;58194;Nevers;CTR DE FORMATION D APPRENTIS;;;44075;;;10 place du général Pittié;;58000;NEVERS
0581006D;600;35;ministère de la santé et de la solidarité nationale;;;PR;1;UAI célibataire;58194;Nevers;CTR FORMATION APPRENTIS SANSOC;;;44075;;;10 place du général Pittié;;58000;NEVERS
0593321P;600;06;ministère de l'éducation nationale;33;ministère du commerce et de l'artisanat;PR;2;UAI mère;59350;Lille;CTR DE FORMATION D APPRENTIS;URMA - CHBRE METIERS ET ARTISA;13002374000439;26543;;;Place des Artisans;CS12010;59011;LILLE CEDEX
0593334D;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;59512;Roubaix;CTR DE FORMATION D APPRENTIS;BTP CFA NORD PAS DE CALAIS;77811392800098;21458;;;68 rue de l'Ouest;CS10704;59066;ROUBAIX CEDEX 1
0594576D;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;59378;Marcq-en-Baroeul;CTR DE FORMATION D APPRENTIS;CFAI RÉGION NPDC;44531243200120;21866;;;3 bis rue des Châteaux;BP44003;59703;MARCQ EN BAROEUL CEDEX
0595427D;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;59009;Villeneuve-d'Ascq;CTR DE FORMATION D APPRENTIS;ARCPP - SIEGE DE VILLENEUVE D';21590350100256;18020;;;49 avenue du Pont de Bois;BP60272;59655;VILLENEUVE D ASCQ CEDEX
0595645R;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;59009;Villeneuve-d'Ascq;CTR DE FORMATION D APPRENTIS;DES COMPAGNONS DU DEVOIR;77566202600258;27638;;;118 rue DE BABYLONE;;59491;VILLENEUVE D ASCQ
0595689N;600;03;ministère de l'agriculture;;;PR;2;UAI mère;59258;Genech;CTR FORMATION APPRENTIS AGRIC.;INST DE GENECH;39337298200016;28126;;;Rue de la Libération;;59242;GENECH
0595821G;600;06;ministère de l'éducation nationale;20;ministère de l'économie, des finances et du budget;PR;1;UAI célibataire;59032;Aulnoy-lez-Valenciennes;CTR DE FORMATION D APPRENTIS;TERTIA - GRAND HAINAUT SITE VA;13002271800485;30293;;;10 avenue Henri Matisse;CS80577;59308;VALENCIENNES CEDEX
0595846J;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;59636;Wambrechies;CTR DE FORMATION D'APPRENTIS;SPECIALISE AGAP FORMATION NPDC;;23253;;;36 allée Hélène Boucher;;59118;WAMBRECHIES
0596014S;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;59009;Villeneuve-d'Ascq;CTR DE FORMATION D APPRENTIS;FORMASUP;42813525500050;33899;;;7 bis avenue DE LA CREATIVITE;;59650;VILLENEUVE D ASCQ
0596268T;600;03;ministère de l'agriculture;;;PR;2;UAI mère;59378;Marcq-en-Baroeul;CTR DE FORMATION D APPRENTIS;IFRIA;30332138400016;34943;;;40 rue EUGENE JACQUET;CS15;59708;MARCQ EN BAROEUL CEDEX
0596346C;600;06;ministère de l'éducation nationale;;;PU;2;UAI mère;59648;Wattignies;CTR DE FORMATION D APPRENTIS;CREPS NORD-PAS DE CALAIS;19590302600019;35309;;;11 rue DE L'YSER;BP49;59635;WATTIGNIES CEDEX
0596448N;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;59378;Marcq-en-Baroeul;CTR DE FORMATION D APPRENTIS;ADEFA;42983617400020;36404;;;16 bis rue de l'Egalité;;59700;MARCQ EN BAROEUL
0596473R;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;59009;Villeneuve-d'Ascq;CTR DE FORMATION D APPRENTIS;METIERS BANQUE ET FINANCE;77567554900585;36526;;;30 place Salvador Allende;BP40487;59650;VILLENEUVE D ASCQ
0596480Y;600;35;ministère de la santé et de la solidarité nationale;;;PR;2;UAI mère;59360;Loos;CTR DE FORMATION D APPRENTIS;ADAMSS - IRTS NORD-PAS DE CALA;31807145300019;36770;;;Rue AMBROISE PARE;BP71;59373;LOOS CEDEX
0596691C;600;06;ministère de l'éducation nationale;20;ministère de l'économie, des finances et du budget;PR;1;UAI célibataire;59512;Roubaix;CTR DE FORMATION D APPRENTIS;CCI GRAND LILLE CEPRECO;13002271800188;37865;;;45 avenue André Chénier;CS50145;59053;ROUBAIX CEDEX 1
0596792M;600;06;ministère de l'éducation nationale;;;PU;2;UAI mère;59350;Lille;CTR DE FORMATION D APPRENTIS;DE L'ACADEMIE DE LILLE;18592161600057;38961;;;111 avenue de Dunkerque;CS10023;59009;LILLE CEDEX
0596816N;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;59350;Lille;CTR DE FORMATION D APPRENTIS;ISE - INSTITUT DES SERVICES A;48886274900030;39326;;;33 rue du Château d'Isenghien;CS20909;59001;LILLE CEDEX
0596817P;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;59386;Marquette-lez-Lille;CTR DE FORMATION D APPRENTIS;AFPC - ASSOC FORM PROF CONTINU;83950476800020;39326;;;183 rue de Menin;;59520;MARQUETTE LEZ LILLE
0596894Y;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;59350;Lille;CTR DE FORMATION D APPRENTIS;AFI 24;52126182600023;40422;;;12 place SAINT HUBERT;;59000;LILLE
0597001P;600;06;ministère de l'éducation nationale;20;ministère de l'économie, des finances et du budget;PR;1;UAI célibataire;59350;Lille;CTR DE FORMATION D APPRENTIS;CCI GRAND LILLE EGC;13002271800196;41883;;;58 rue de l'Hôpital Militaire;;59800;LILLE
0597067L;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;59009;Villeneuve-d'Ascq;CTR DE FORMATION D APPRENTIS;PROMOTRANS DES HAUTS DE FRANCE;77568013500701;42736;;La Haute Borne;;;59650;VILLENEUVE D ASCQ
0597090L;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;59009;Villeneuve-d'Ascq;CTR DE FORMATION D APPRENTIS;REGIONAL HAUTS DE FRANCE JEAN;50013802900029;43101;;;10 rue Horus;;59491;VILLENEUVE D ASCQ
0601206K;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;60007;Agnetz;CTR DE FORMATION D APPRENTIS;BTP CFA 60;50260294900039;25455;;;290 impasse DE LA CROIX VERTE;;60600;AGNETZ
0601209N;600;06;ministère de l'éducation nationale;;;PU;1;UAI célibataire;60159;Compiègne;CTR DE FORMATION D APPRENTIS;LYCEE MIREILLE GRENET;;25455;;;13 avenue D'HUY;BP23;60321;COMPIEGNE CEDEX
0601211R;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;60463;Nogent-sur-Oise;CTR DE FORMATION D APPRENTIS;CCI TERRITORIALE DE L'OISE;13002271800386;25455;;;230 rue CHARLES SOMASCO;;60180;NOGENT SUR OISE
0601500E;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;60612;Senlis;CTR DE FORMATION D APPRENTIS;PROMEO CFAI PICARDIE;30290898300026;27273;;;1 rue EUGENE GAZEAU;;60300;SENLIS
0602089V;600;03;ministère de l'agriculture;;;PU;1;UAI célibataire;60008;Airion;CTR FORMATION APPRENTIS AGRIC;PUBLIC DES HAUTS DE FRANCE;;38961;;Airion;6 rue du dessus de l'étang;;60600;AIRION
0602106N;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;60590;Saint-Omer-en-Chaussée;CTR DE FORMATION D APPRENTIS;BTP LE BELLOY;51887593500018;40014;;;51 rue DE BELLOY;;60860;ST OMER EN CHAUSSEE
0602144E;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;60463;Nogent-sur-Oise;CTR DE FORMATION D APPRENTIS;APPRENTISSAGE MÉTIER SERV AÉRO;80011612100024;41652;;;9 rue Ronsard;;60180;NOGENT SUR OISE
0602165C;600;03;ministère de l'agriculture;;;PR;1;UAI célibataire;60282;Gouvieux;CTR FORMATION APPRENTIS AGRIC;DE GOUVEIUX;;42979;;;5 rue du chaffour;;60270;GOUVIEUX
0602182W;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;60282;Gouvieux;CTR DE FORMATION D APPRENTIS;INFA LE MANOIR;78574029100071;43709;;;12 chemin des aigles;;60270;GOUVIEUX
0610770F;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;61001;Alençon;CTR DE FORMATION D APPRENTIS;BATIMENT ROGER DUCRE;;25247;;ST-PATERNE - LE -CHEVAIN;Plaine saint-gilles;;61000;ALENCON
0611061X;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;61001;Alençon;CTR DE FORMATION D APPRENTIS;3 IFA;40110456700029;29109;;;Route du Mans;;61000;ALENCON
0611130X;600;03;ministère de l'agriculture;;;PU;3;UAI fille;61464;Sées;CTR FORMATION APPRENTIS AGRIC.;LEGTA SEES;;27287;;;ROUTE D'ESSAY;BP4;61500;SEES
0611162G;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;61143;Damigny;CTR DE FORMATION D APPRENTIS;CIFAP;33059995200026;33147;;MONTFOULON;;;61250;DAMIGNY
0611206E;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;61143;Damigny;CTR DE FORMATION D APPRENTIS;ETPNA;;34943;;;12 place du palais;;61003;ALENCON CEDEX
0611248A;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;61001;Alençon;CTR DE FORMATION D APPRENTIS;IRSAP;41351515600011;37522;;;Route du Mans;;61000;ALENCON
0611294A;600;03;ministère de l'agriculture;;;PU;1;UAI célibataire;61328;Le Pin-au-Haras;CTR FORMATION APPRENTIS AGRIC;;;41153;;Les Ecuries du bois;;;61310;LE PIN AU HARAS
0623105N;600;06;ministère de l'éducation nationale;;;PU;1;UAI célibataire;62193;Calais;CTR DE FORMATION D APPRENTIS;VILLE DE CALAIS;21620193900818;26177;;;200 rue Guillaume Apollinaire;BP323;62107;CALAIS CEDEX
0623631K;600;06;ministère de l'éducation nationale;20;ministère de l'économie, des finances et du budget;PR;2;UAI mère;62498;Lens;CTR DE FORMATION D APPRENTIS;SIADEP - SIEGE DE LENS;13002271800212;29830;;;13 rue Marcel Sembat;CS90006;62301;LENS CEDEX
0623801V;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;62765;Saint-Omer;CTR DE FORMATION D APPRENTIS;STARTEVO;33873066600017;31383;;Zone industrielle Brocku;3 avenue de Rome;;62500;ST OMER
0624192V;600;03;ministère de l'agriculture;;;PR;2;UAI mère;62767;Saint-Pol-sur-Ternoise;CTR FORMATION APPRENTIS AGRIC;DES METIERS RURAUX;44100213600014;35309;;;5 rue des Ferronniers;;62130;ST POL SUR TERNOISE
0624235S;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;62160;Boulogne-sur-Mer;CTR DE FORMATION D APPRENTIS;CFPMT APPRENTISSAGE;78395222900020;36770;;;8 rue de Verdun;;62200;BOULOGNE SUR MER
0624240X;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;62041;Arras;CTR FORMATION APPRENTIS;FCMB - FEDERATION COMPAGNONNIQ;81893333500015;36404;;;23 avenue PAUL MICHONNEAU;;62000;ARRAS
0624334Z;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;62041;Arras;CTR DE FORMATION D APPRENTIS;DE L AVENIR PRO 62;;38596;;;174 avenue DE L'HIPPODROME;;62000;ARRAS
0624367K;600;28;ministère de la mer;;;PR;1;UAI célibataire;62667;Le Portel;CTR FORMATION APPRENTIS MARIT.;LP MARITIME BOULOGNE LE PORTEL;19623903200010;39326;;;6 rue GEORGES HONORE;;62480;LE PORTEL
0631243J;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;63113;Clermont-Ferrand;CTR DE FORMATION D'APPRENTIS;BTP CFA PUY-DE-DOME;41884676200114;25692;;;4 rue LOUIS DABERT;;63000;CLERMONT FERRAND
0631450J;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;63113;Clermont-Ferrand;CTR DE FORMATION D'APPRENTIS;INSTITUT DES METIERS;55208131745302;26808;;;Rue DU CHATEAU DES VERGNES;;63039;CLERMONT FERRAND CEDEX 2
0631687S;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;63003;Ambert;CTR DE FORMATION D'APPRENTIS;;31794423900027;29099;;;23 rue Blaise Pascal;;63600;AMBERT
0631819K;600;06;ministère de l'éducation nationale;3;ministère de l'agriculture;PR;1;UAI célibataire;63113;Clermont-Ferrand;CFA SPECIALISE D'AUVERGNE;CAP 3A;51303734100023;33117;;;1 avenue DES COTTAGES;;63000;CLERMONT FERRAND
0631929E;600;03;ministère de l'agriculture;;;PR;1;UAI célibataire;63124;Cournon-d'Auvergne;CFA IAA D'AUVERGNE;IFRIA D'AUVERGNE;39329874000035;36068;;;Rue du bois joli;;63800;COURNON D AUVERGNE
0631959M;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;63124;Cournon-d'Auvergne;CTR DE FORMATION D APPRENTIS;AFTRAL CFATL AUVERGNE;39126421500123;37500;;;17 rue DU BOIS JOLI;;63800;COURNON D AUVERGNE
0631964T;600;06;ministère de l'éducation nationale;32;ministère de la jeunesse et des sports;PR;2;UAI mère;63113;Clermont-Ferrand;ADASA - CFA;METIERS DU SPORT ET ANIMATION;;37926;;;1 rue TOURETTE;BP90213;63021;CLERMONT FERRAND CEDEX 2
0631977G;600;06;ministère de l'éducation nationale;;;PU;1;UAI célibataire;63113;Clermont-Ferrand;CTR DE FORMATION D APPRENTIS;CFA DE L'EDUCATION NATIONALE E;18630909200010;38687;;;3 avenue VERCINGETORIX;;63033;CLERMONT FERRAND CEDEX 1
0631978H;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;63113;Clermont-Ferrand;FORMASUP AUVERGNE;FORMASUP;49171064600028;38687;;;32 rue DU CLOS FOUR;;63100;CLERMONT FERRAND
0632065C;600;03;ministère de l'agriculture;;;PU;1;UAI célibataire;63193;Lempdes;CTR FORMATION APPRENTIS AGRIC;DES TERRITOIRES D'AUVERGNE;;43466;;Site de Marmilhat;;;63370;LEMPDES
0640235H;600;06;ministère de l'éducation nationale;;;PU;1;UAI célibataire;64102;Bayonne;CFA DE L'AGGLOMERATION;CA DU PAYS BASQUE;20006710600100;25248;;;73 rue BOURGNEUF;;64100;BAYONNE
0640239M;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;64445;Pau;CFA CHAMBRE DES METIERS;CHBRE METIERS ARTISANAT DEPART;18640004000066;25248;;;34 avenue Léon Blum;;64000;PAU
0641395U;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;64445;Pau;CENTRE DE FORMATION D APPRENTI;BTP CFA AQUITAINE PAU;78235535800055;26408;;;36 avenue Léon Blum;;64000;PAU
0641409J;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;64067;Assat;CTR DE FORMATION D APPRENTIS;INDUSTRIE DE L ADOUR;80976727000014;35309;;;1 cours DE L'INDUSTRIE;;64510;ASSAT
0641519D;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;64102;Bayonne;CFA UNIVERSITE DES METIERS;BAYONNE PAYS BASQUE;18640004000082;27890;;;25  BOULEVARD ARITXAGUE;;64100;BAYONNE
0641752G;600;03;ministère de l'agriculture;;;PU;4;UAI mère et fille;64256;Hasparren;CTRE DPT FORMATION APPRENT AGR;LYC.AGR. MONTARDON;19640220000048;30926;;;ROUTE DE CAMBO;;64240;HASPARREN
0641873N;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;64125;Bidart;CTR DE FORMATION D APPRENTIS D;DES TECHNOLOGIES INDUSTRIELLES;82445767500018;34002;;;92 allée THEODORE MONOD;;64210;BIDART
0641874P;600;06;ministère de l'éducation nationale;38;ministère de l'enseignement supérieur, de la recherche et de l'innovation;PR;2;UAI mère;64102;Bayonne;CTR DE FORMATION D APPRENTIS;D I F C A M;;34002;;;17 rue Paul Bert;;64100;BAYONNE
0641890G;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;64445;Pau;CTR DE FORMATION D APPRENTIS;A.D.A.G.E.S.P.;39900165000015;34578;;;3  RUE ST JOHN PERSE;CS17512;64075;PAU CEDEX
0641918M;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;64132;Bizanos;CTR FORMATION APPRENTIS CCI;COMMERCE SPORTS LOISIRS;13002249400525;35309;;;2 avenue du stade d'eaux vives;CS10045;64320;BIZANOS
0642033M;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;64024;Anglet;CFA COMPAGNONS DU TOUR DE FRAN;METIERS DU BATIMENT;82431025400019;39692;;;3 allée DE BELLEVUE;;64600;ANGLET
0642043Y;600;06;ministère de l'éducation nationale;38;ministère de l'enseignement supérieur, de la recherche et de l'innovation;PU;2;UAI mère;64102;Bayonne;CTR DE FORMATION D APPRENTIS;CFA UNIVERSITAIRE PAU - ADOU;19640251500429;40057;;;8 allée DES PLATANES;;64100;BAYONNE
0650593S;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;65440;Tarbes;CTRE DE FORMATION D'APPRENTIS;ASSOC FORM PROFESSIONNELLE;30324247300021;25309;;;ZONE INDUST BASTILLAC SUD;;65000;TARBES
0651054T;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;65226;Ibos;CTRE DE FORMATION D'APPRENTIS;VECTEUR PYRENEES;49432230800029;39692;;;0 RUE DU NEOUVIELLE;CS80026;65420;IBOS
0660447C;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;66164;Rivesaltes;CTR DE FORMATION D APPRENTIS;CHAMBRE METIERS ARTISANAT PO;18660001100032;25309;;;9 AVENUE ALFRED SAUVY;;66600;RIVESALTES
0660488X;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;66136;Perpignan;CTR DE FORMATION D APPRENTIS;BTP 66;51472700700031;25685;;;205  RUE FELIX TROMBE;;66100;PERPIGNAN
0660733N;600;03;ministère de l'agriculture;;;PU;3;UAI fille;66164;Rivesaltes;CTR FORMATION APPRENTIS AGRIC.;LEGTA F G LORCA;19660699000055;30926;;;Boulevard des Pyrénées;;66600;RIVESALTES
0660939M;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;66195;Le Soler;CTR DE FORMATION D APPRENTIS;TRANSF INDUST CRÉATIVES NUMÉRI;41038154500012;42736;;;31 rue Chateaubriand;;66270;LE SOLER
0660952B;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;66136;Perpignan;CTR DE FORMATION D APPRENTIS;FORMATION PLUS MÉDITERRANÉE;81456842400018;43617;;;32 boulevard Jean Bourrat;;66000;PERPIGNAN
0671755U;600;06;ministère de l'éducation nationale;;;PU;3;UAI fille;67447;Schiltigheim;CTR DE FORMATION D APPRENTIS;DU LYCEE EMILE MATHIS;19670089200017;25272;;;1 rue du Dauphiné;BP90009;67311;SCHILTIGHEIM CEDEX
0671760Z;600;06;ministère de l'éducation nationale;;;PU;3;UAI fille;67180;Haguenau;CTR DE FORMATION D APPRENTIS;DU LP  ANDRE SIEGFRIED;19670024900010;25272;;;12 rue des Dominicains;BP40234;67504;HAGUENAU CEDEX
0671882G;600;06;ministère de l'éducation nationale;;;PU;3;UAI fille;67180;Haguenau;CTR DE FORMATION D APPRENTIS;DU LPO HEINRICH-NESSEL;19671509800014;26106;;;123 route de Strasbourg;BP50235;67504;HAGUENAU CEDEX
0672051R;600;06;ministère de l'éducation nationale;;;PU;3;UAI fille;67462;Sélestat;CTR DE FORMATION D APPRENTIS;DU LYCEE SCHWEISGUTH;19671696300034;27725;;;6 avenue Schweisguth;BP60269;67606;SELESTAT CEDEX
0672056W;600;06;ministère de l'éducation nationale;;;PU;3;UAI fille;67437;Saverne;CTR DE FORMATION D APPRENTIS;DU LP JULES VERNE;19670058700013;27729;;;31 rue Saint Nicolas;BP50126;67703;SAVERNE CEDEX
0672064E;600;06;ministère de l'éducation nationale;;;PU;3;UAI fille;67544;Wissembourg;CTR DE FORMATION D APPRENTIS;DU LYCEE STANISLAS;19670114800021;23863;;;7 rue du lycée;BP40143;67163;WISSEMBOURG CEDEX
0672066G;600;06;ministère de l'éducation nationale;;;PU;3;UAI fille;67218;Illkirch-Graffenstaden;CTR DE FORMATION D APPRENTIS;DU LYCEE LE CORBUSIER;19672198900016;27729;;;15 rue Lixenbuhl;BP10133;67404;ILLKIRCH CEDEX
0672270D;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;67218;Illkirch-Graffenstaden;CTR DE FORMATION D APPRENTIS;DE LA CHAMBRE DE  METIERS;18670223900028;29125;;ESCHAU;21 rue des fusiliers marins;CS30415;67412;ILLKIRCH CEDEX
0672477D;600;03;ministère de l'agriculture;;;PU;3;UAI fille;67348;Obernai;CTR FORMATION APPRENTIS AGRIC.;OBERNAI;19671685600014;27273;;;44 BOULEVARD DE L.EUROPE;BP203;67212;OBERNAI CEDEX
0672564Y;600;06;ministère de l'éducation nationale;;;PU;3;UAI fille;67482;Strasbourg;CTR DE FORMATION D APPRENTIS;DU LYCEE J.F.OBERLIN;19670127000015;32143;;;6 rue Baldung Grien;;67000;STRASBOURG
0672601N;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;67218;Illkirch-Graffenstaden;CTR DE FORMATION D APPRENTIS;C.E.F.P.P.A ADRIEN ZELLER;35185807100027;32782;;;4 rue Eugénie Brazier;;67400;ILLKIRCH GRAFFENSTADEN
0672632X;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;67482;Strasbourg;CTR DE FORMATION D APPRENTIS;DES COMPAGNONS DU DEVOIR;77566202600050;32387;;;2 rue de Wasselonne;CS70026;67085;STRASBOURG CEDEX
0672856R;600;06;ministère de l'éducation nationale;;;PU;3;UAI fille;67348;Obernai;CTR DE FORMATION D APPRENTIS;LYCEE DES METIERS EMILE VICTOR;19670050400018;36039;;;1 A avenue de Gail;;67210;OBERNAI
0672879R;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;67447;Schiltigheim;CTR DE FORMATION D APPRENTIS;METIERS DE LA BANQUE ET FINANC;77567554900635;36404;;ESPACE EUROPEEN;16 avenue de l'Europe;;67300;SCHILTIGHEIM
0672892E;600;06;ministère de l'éducation nationale;;;PU;3;UAI fille;67218;Illkirch-Graffenstaden;CTR DE FORMATION D APPRENTIS;DU LPO GUTENBERG;19672616000019;36770;;;22 rue Lixenbuhl;BP90141;67404;ILLKIRCH CEDEX
0672902R;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;67447;Schiltigheim;CTR DE FORMATION D APPRENTIS;DU SECTEUR SANITAIRE SOC MEDIC;83833964600021;37131;;;12 rue Jean Monnet;CS90045;67311;SCHILTIGHEIM CEDEX
0672958B;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;67043;Bischheim;CTR DE FORMATION D APPRENTIS;TRANSPORT ET LOGISTIQUE;77569201500115;37865;;;4 avenue de l'Energie;;67800;BISCHHEIM
0673012K;600;06;ministère de l'éducation nationale;32;ministère de la jeunesse et des sports;PR;1;UAI célibataire;67482;Strasbourg;CTR DE FORMATION D APPRENTIS;DES METIERS ANIMATION ET SPORT;19670141100015;39326;;;4 allée du Sommerhof;;67200;STRASBOURG
0673028C;600;06;ministère de l'éducation nationale;33;ministère du commerce et de l'artisanat;PR;2;UAI mère;67482;Strasbourg;CTR DE FORMATION D APPRENTIS;CCI CAMPUS;13002267600030;39692;;;234 avenue de Colmar;;67021;STRASBOURG CEDEX 1
0673047Y;600;35;ministère de la santé et de la solidarité nationale;38;ministère de l'enseignement supérieur, de la recherche et de l'innovation;PR;1;UAI célibataire;67218;Illkirch-Graffenstaden;CTR DE FORMATION D APPRENTIS;PHARMA. LEEM APPRENTISSAGE;45212801000025;40422;;;74 route du Rhin;CS60024;67401;ILLKIRCH CEDEX
0673147G;600;06;ministère de l'éducation nationale;;;PU;3;UAI fille;67482;Strasbourg;CTR DE FORMATION D APPRENTIS;DE L'ACADEMIE DE STRASBOURG;18671553800044;43831;;;2 rue Adolphe Seyboth;;67000;STRASBOURG
0681197G;600;06;ministère de l'éducation nationale;;;PU;3;UAI fille;68112;Guebwiller;CTR DE FORMATION D APPRENTIS;DE L'HOTELLERIE JOSEPH STORCK;83535887000037;25280;;;Rue Jules Ferry;;68501;GUEBWILLER CEDEX
0681486W;600;06;ministère de l'éducation nationale;;;PU;3;UAI fille;68224;Mulhouse;CTR DE FORMATION D APPRENTIS;DU LYCEE ROOSEVELT;19680039500036;27729;;;18 rue de la Tour du diable;BP2307;68069;MULHOUSE CEDEX 2
0681489Z;600;06;ministère de l'éducation nationale;;;PU;3;UAI fille;68297;Saint-Louis;CTR DE FORMATION D APPRENTIS;DU LYC.POL.MERMOZ;19680066800010;27729;;;53 rue du Docteur Hurst;;68300;ST LOUIS
0681492C;600;06;ministère de l'éducation nationale;;;PU;3;UAI fille;68063;Cernay;CTR DE FORMATION D APPRENTIS;DU LYCEE GUSTAVE EIFFEL;19681810800017;27729;;;Rue Gustave Eiffel;CS40240;68704;CERNAY CEDEX
