cle_ministere_educatif;uai_formation
087965P012X1831090730003519120006200013-12089#L01;0120006S
087965P012X1831090730003519310054200029-31555#L01;0310054R
087965P012X1831090730003519320030000013-32410#L01;0320030J
087965P012X1831090730003519460010200017-46102#L01;0460032K
087965P012X1831090730003519650027600015-65440#L01;0650027B
087965P012X1831090730003519810004200011-81004#L01;0810004P
087965P012X1831090730003519820021400015-82121#L01;0820021C
087965P012X1876090940002919610021800011-61169#L01;0610021S
087965P012X1894091050001318940910500013-77288#L01;0770934X
087965P012X3141869820003431418698200034-21231#L01; 0212001L
087965P012X7787152190013677871521900136-25230#L01;0251944C
087967P012X1859216160005718592161600057-59139#L01;0590044C 
087967P012X1859216160005718592161600057-59350#L01;0590121L 
087967P012X1859216160005718592161600057-59392#L01;0590149S
087967P012X1876090940002919610026700018-61214#L01;0610026X
087967P012X1894091050001318940910500013-77288#L01;0770934X
087967P012X1894091050001318940910500013-94016#L01;0940580V
087967P012X1894091050001318940910500013-94046#L01;0941355M
087967P012X1954004290002119540042900021-54395#L01;0540042C
087967P012X1954007670002419540076700024-54273#L01;0540076P
087967P012X1975067690001119750676900011-75111#L01;0750676C
087967P012X1988015320004719880153200047-88383#L01;0880153N
087967P012X3029089830002630290898300026-80021#L01;0801300D 
087967P012X3418207770003334182077700033-93030#L01;0932618R
087967P012X3495860990002134958609900021-57757#L01;0572698Y
087967P012X3904824200002839048242000028-29019#L01;0292258X
087967P012X3904824200002877772221600010-35236#L01;0350791V
087967P012X7787152190013677871521900136-25230#L01;0251944C 
088017P012X1876090940002918760909400128-76681#L01;0760110G
088063P012X1876090940002919142120500011-14174#L01;0142120D
088063P013X1859216160005718592161600057-62160#L01;0624382B
088063P013X1929007100002619290071000026-29232#L01;0292379D
088069P012X1876090940002919142120500011-14174#L01;0142120D
088069P013X1821002630004118210026300041-21425#L01;0210056X
088073P013X1859216160005718592161600057-62160#L01;0624382B
088073P013X1929007100002619290071000026-29232#L01;0292379D
088073P013X3495860990002134958609900021-57757#L01;0572698Y
088275P012X3087085360005430870853600054-69388#L01;0693640G
088277P012X1831090730003519310052600014-31555#L01;0310052N
088277P012X1880086430002818800864300028-02173#L01;0020014E 
088277P012X1888221180001718882211800017-88424#L01;0881672P
088277P012X3087085360005430870853600054-69388#L01;0693640G
088277P012X3087085360007030870853600070-89387#L01; 0891200W
088281P01111956002670004919560026700049-22136#L01;0222043B
088281P01111956002670004919560026700049-56260#L01; 0561968K
088281P01114853882010004148538820100041-29232#L01;0292397Y
088281P011X1859216160005718592161600057-62637#L01;0624460L
088281P012X1859216160005718592161600057-59009#L01;0596831E
088281P012X1859216160005718592161600057-59291#L01;0596827A
088281P012X1859216160005718592161600057-62119#L01;0623130R
088281P012X1859216160005718592161600057-62318#L01;0624288Z
088281P012X1876090940002919140014200045-14437#L01;0141687H
088281P012X1876090940002919142120500011-14174#L01;0142120D
088281P012X1908000860002619080008600026-08409#L01;0080047H
088281P012X1911002390002619110023900026-11069#L01;0110905Z
088281P012X1911002390002619110023900026-11262#L01;0110905Z
088281P012X1956002670004919560026700049-56121#L01;0561958Z
088281P012X1956002670004919560026700049-56178#L01;0561985D
088281P01321825002310002819700018500011-70310#L01;0700018P
088281P013X1821002630004118210026300041-21425#L01;0210056X
088281P013X1859216160005718592161600057-59008#L01;0592610S
088281P013X1859216160005718592161600057-59014#L01;0596972H
088281P013X1859216160005718592161600057-59350#L01;0596957S
088281P013X1859216160005718592161600057-59606#L01;0594624F
088281P013X1859216160005718592161600057-62041#L01;0624444U
088281P013X1859216160005718592161600057-62643#L01;0620221D
088281P013X1859216160005718592161600057-62771#L01;0620220C
088281P013X1929007100002619290071000026-29039#L01;0292393U
088281P013X1929007100002619290071000026-29220#L01;0292394V
088281P013X3495860990002134958609900021-55029#L01;0551031X
088281P013X3495860990002134958609900021-57757#L01;0572698Y
088281P013X3495860990002134958609900021-88465#L01;0881721T
088281P013X3525011590001135250115900011-58194#L01;0580771Y
088281P013X3904824200002839048242000028-29019#L01;0292258X
088281P013X3904824200002839048242000028-35047#L01;0352503F
088281P013X7757284540020577572845400205-93073#L01;0931025J
088281P013X7781277530001177812775300011-54025#L01;0541344T
088281P013X7787152190013677871521900052-70550#L01;0701147S
088543P01114853882010004148538820100041-29232#L01;0292398Z
088543P01117800147830001078001478300010-57529#L01;0572101Z
088543P011X5001380290002978351045600016-59033#L01;0596186D
088543P011X5001380290002978351618000040-59043#L01;0596054K
088543P011X5001380290002978354361400029-59122#L01;0596055L
088543P011X5001380290002978354361400029-62014#L01;0596055L
088543P011X5001380290002978397219300016-62193#L01;0624497B
088543P01218925840790001652981754600011-76427#L01;0762284V
088543P012X1300260730017613002607300176-71294#L01;0711078L
088543P012X1300279310004213002793100042-09122#L01;0090553C
088543P012X1821002630004118210026300041-21603#L01;0210047M
088543P012X1821002630004118210026300041-58062#L01;0580552K
088543P012X1821002630004118210026300041-58086#L01;0580014A
088543P012X1859216160005718592161600057-59017#L01;0596883L
088543P012X1859216160005718592161600057-59178#L01;0596201V
088543P012X1859216160005718592161600057-59183#L01;0595480L
088543P012X1859216160005718592161600057-59350#L01;0594577E
088543P012X1859216160005718592161600057-62014#L01;0624443T
088543P012X1859216160005718592161600057-62126#L01;0623965Y
088543P012X1859216160005718592161600057-62160#L01;0624091K
088543P012X1859216160005718592161600057-62826#L01;0623465E
088543P012X1859216160005719623328200017-62427#L01;0622318H
088543P012X1930002620002519300041100010-30269#L02;0300041G
088543P012X1951003590002319510035900023-51108#L01;0510007F
088543P012X1951003590002319510035900023-51454#L01;0510036M
088543P012X1951003590002319510035900023-51535#L01;0510053F
088543P012X1957005700003719570057000037-57463#L01;0573320Z
088543P012X1957009920004119570099200041-57630#L01;0570095U
088543P012X1957009920004119570099200041-57631#L01;0570099Y
088543P012X8828001960001788280019600017-54304#L01;0541550S
088647P012X7834151100001578341511000015-55551#L01;0550892W
088649P012X1922005820002619220058200026-22093#L01;0222012T
088649P013X1988015320004719880153200047-88029#L01;0880001Y
088649P013X7777069380001977770693800019-35184#L01;0352598J
088649P013X7834151100001578341511000015-55551#L01;0550892W
088655P012X4853882010004148538820100041-56094#L01;0561620G
088655P012X7834151100001578341511000015-55551#L01;0550892W
088657P012X1922005820002619220058200026-22093#L01;0222012T
088657P013X1988015320004719880153200047-88029#L01;0880001Y
088657P013X7834151100001578341511000015-55551#L01;0550892W
088865P011X3418207770003334182077700033-77194#L01;0772749V
088865P012X1955075200001119550752000011-55545#L01;0551073T
088951P012X1859216160005718592161600057-62193#L01;0623463C
089377P012X1831090730003519650027600015-65440#L01;0650027B
089377P012X1859216160005718592161600057-59249#L01;0590083V
089377P012X1867155380003618671553800044-68297#L01;0680066C
089379P01111942004240002719420043200012-42218#L01;0420043U
089379P012X1831090730003519650027600015-65440#L01;0650027B
089379P012X3904824200002839048242000028-35047#L01;0352503F
089751P01111942004240002719420079600010-42218#L01;0420079H
089751P012X1821002630004118210026300041-21054#L01;0212045j
089751P012X1831090730003519310091400012-31555#L01;0311902Z
089751P012X1859216160005718592161600057-59350#L01;0590121L 
089751P012X1887370350002518873703500025-87085#L01;0875023M
089751P012X1954004290002119540042900021-54395#L01;0540082W
089751P022X1831090730003519310091400012-31555#L01;0311902Z
089753P012X1821002630004118210026300041-21054#L01;0212045J
089753P012X1859216160005718592161600057-59350#L01;0590121L 
089753P012X1954004290002119540042900021-54395#L01;0540082W
093217P01111939080920001119390809200011-39300#L01;0390809T
093217P012X1947001910003519470019100035-47324#L01;0470943V
093225P01211906079370007419060793700074-06004#L01;0061920E
093225P012X1906079370007419060793700074-06004#L01;0061920E
093637P01113904824200002839048242000028-29051#L01;0292338J
093637P01113904824200002839048242000028-56121#L01;0561949P
093637P01115030492150002677912879200024-43041#L01;0430055B
093637P02113904824200002839048242000028-29019#L01;0292258X
093637P02113904824200002839048242000028-44185#L01;0442808N
093799P01118139831940001681398319400016-29019#L01;0292401C
093799P012X8139831940001681398319400016-29019#L01;0292401C
094091P01113904824200002839048242000028-29051#L01;0292338J
094091P01113904824200002839048242000028-35047#L01;0352503F
094091P01113904824200002839048242000028-35360#L01;0352927S
094099P011X1831090730003519311092100015-31149#L01;0311092U
094099P011X1831090730003519650027600015-65440#L01;0650027B
094101P01111956002670004919560026700049-56121#L01;0561958Z
094101P01113495860990002134958609900021-57316#L01;0573690B
094101P011X1859216160005718592161600057-62510#L01;0620190V 
094105P01213487254900002634872549000059-50129#L01;0502019Y
094105P012X1859216160005718592161600057-62765#L01;0624275K
094105P012X1908000860002619080008600026-08409#L01;0080047H
094105P012X3495860990002134958609900021-57316#L01;0573690B
094105P012X3495860990002134958609900021-57757#L01;0572698Y
094105P012X3495860990002134958609900021-88465#L01;0881721T
094107P01213487254900002634872549000059-50129#L01;0502019Y
094107P012X1821002630004118210026300041-71076#L01;0710012C
094107P012X1859216160005718592161600057-62560#L01;0620131F
094107P012X1859216160005718592161600057-62765#L01;0624275K
094107P012X1908000860002619080008600026-08409#L01;0080047H
094107P012X3495860990002134958609900021-57316#L01;0573690B
094107P012X3495860990002134958609900021-57757#L01;0572698Y
094107P012X3495860990002134958609900021-88465#L01;0881721T
094107P012X3904824200002839048242000028-35047#L01;0352503F
094413P012X1876090940002919610021800011-61169#L01;0610021S
09441512X1984000530002319840005300023-84141#L01;0840039L
094415P011X1894091050001318940910500013-77131#L01;0770924L
094415P011X4839574780001748395747800017-12208#L01;0121479T
094415P011X5001380290002934012780200015-59017#L01;0593060F 
094415P012X1831090730003519810012500014-81060#L01;0810012Y
094415P012X1859216160005718592161600057-62178#L01;0622801H 
094415P012X1867155380003618671553800044-67348#L01;0670050R
094415P012X1933002330003119330023300031-33056#L01;0330018R
094415P012X1954004290002119540042900021-54159#L01;0540015Y
094415P012X1969286670002719692866700027-69275#L01;0692800U 
094415P012X1984000530002319840005300023-84141#L01;0840039L
094415P012X4839574780001748395747800017-12208#L01;0121479T
094417P012X3904824200002839048242000028-56121#L01;0561949P
094419P011X5001380290002977562556900014-59392#L01;0592916Z 
094419P012X1831090730003519310047600012-31555#L01;0310047H
094419P012X1859216160005718592161600057-59350#L01;0590258K 
094419P012X1867155380003618671553800044-68297#L01;0680066C
094419P012X3418207770003334182077700033-77243#L01;0771237B
094419P012X3511911190016035119111900160-35238#L01;0353005B
094419P012X3813804270005838138042700058-33281#L01;0333016Z
094419P012X4189553810005241895538100052-83144#L01;0831693P
094419P012X4933005600001578225913900015-64102#L01;0640111Y 
094419P012X8845852580001280337752200021-69266#L01;0694434V
094447P013X1906079370007419830077400033-83004#L01;0831580S
094447P013X7782481790001377824817900013-21534#L01;0211575Y
094447P013X7861360690001478613606900014-49063#L01;0491835D
094449P01117807475490001978074754900019-14396#L01;0141872J
094449P012X4853882010004132775402400013-56066#L01;0561628R
094449P012X4853882010004148538820100041-29139#L01;0292349W
094449P012X4853882010004148538820100041-35236#L01;0352493V
094449P012X7807475490001978074754900019-14396#L01;0141872J
094449P013X1927101680001919271016800043-27428#L01;0271473E
094449P013X1971106870006219711068700096-71202#L01;0711103N
094449P013X7782459850002477824598500024-21515#L01;0211530Z
094449P013X7834151100001578341511000015-55551#L01;0550892W
094559P011X5001380290002977563016300019-62041#L01;0624102X
094559P011X5001380290002978351045600016-59033#L01;0596186D
094559P011X5001380290002978351618000040-59043#L01;0596054K
094559P011X5001380290002978386335000014-59606#L01;0596057N
094559P012X1300260730017613002607300176-71294#L01;0711078L
094559P012X1300279310004213002793100042-09122#L01; 0090553C
094559P012X1821002630004118210026300041-21603#L01;0210047M
094559P012X1821002630004118210026300041-58062#L01;0580552K
094559P012X1859216160005718592161600057-59178#L01;0596201V
094559P012X1859216160005718592161600057-59350#L01;0594577E
094559P012X1859216160005718592161600057-62014#L01;0624443T
094559P012X1859216160005718592161600057-62126#L01;0623965Y
094559P012X1859216160005718592161600057-62160#L01;0624091K
094559P012X1859216160005718592161600057-62193#L01;0623105N
094559P012X1859216160005718592161600057-62427#L01;0622318H
094559P012X1859216160005718592161600057-62826#L01;0623465E
094559P012X1951003590002319510035900023-51108#L01;0510007F
094559P012X1951003590002319510035900023-51454#L01;0510036M
094559P012X1951003590002319510035900023-51535#L01;0510053F
094559P012X1957005700003719570057000037-57463#L01;0573320Z
094559P012X1957009920004119570099200041-57630#L01;0570095U
094559P012X1957009920004119570099200041-57631#L01;0570099Y
094559P012X1988015320004719880153200047-88196#L01;0881664F
094559P012X8828001960001788280019600017-54304#L01;0541550S
094611P012X1930013930003519300139300035-30356#L01;0301435X
094681P01111956002670004919560026700049-56007#L01;0561997S
094681P012X1821002630004118210026300041-58062#L01;0580552K
094681P012X1859216160005718592161600057-59295#L01;0596701N
094683P012X1859216160005718592161600057-59350#L01;0593318L
0947311315185958550002534937334000018-13208#L01;0130202Z
094731P01117799048380006639269401400102-01053#L01;0011438H
094731P013X3803691240001738036912400017-66136#L01;0660951A
094731P013X3926940140008639269401400086-74010#L01;0741624N 
094731P013X4892700170001048927001700010-45232#L01;0450848C
094731P013X4918847300004679296161700018-35238#L01;0351603R
094731P013X4918847300004679296161700026-56121#L01;0561767S
094731P013X4918847300004679296161700034-22278#L01;0221739W
094731P013X5185958550002534937334000018-13208#L01;0130202Z
094731P013X7515343220003548927001700010-45232#L01;0450848C
094733P013X3803691240001738036912400017-66136#L01;0660951A
094733P013X3926940140008639269401400086-74010#L01;0741624N 
094733P013X4390885010002843908850100028-31555#L01;0311876W
094733P013X4851828360002678644691400115-85191#L01;0851637T
094733P013X4918847300004679296161700018-35238#L01;0351603R
094733P013X4918847300004679296161700026-56121#L01;0561767S
094733P013X4918847300004679296161700034-22278#L01;0221739W
094733P013X5185958550002534937334000018-13208#L01;0130202Z 
094733P013X7515343220003548927001700010-45232#L01;0450848C
094733P013X7985079350003834943244300043-25056#L01;0251746M
094733P013X7985079350003841047508100015-21231#L01;0211053F
094735P012X3803691240001738036912400017-66136#L01;0660951A
094735P013X4390885010002843908850100028-31555#L01;0311876W
094735P013X4851828360002650961850000086-44143#L01;0442101V
094735P013X4918847300004679296161700018-35238#L01;0351603R
094735P013X4918847300004679296161700026-56121#L01;0561767S
094735P013X4918847300004679296161700034-22278#L01;0221739W
094735P013X5185958550002534937334000018-13208#L01;0130202Z 
094735P013X7515343220003530282378600025-37261#L01;0370074E
094735P013X7985079350003834943244300043-25056#L01;0251746M
094735P013X7985079350003841047508100015-21231#L01;0211053F
094737P013X4892700170002848927001700010-45232#L01;0450848C
094737P013X4918847300004679296161700018-35238#L01;0351603R
094737P013X7515343220003530282378600025-37261#L01;0370074E
094737P013X7515343220003548927001700010-45232#L01;0450848C
094737P013X7985079350003834943244300043-25056#L01;0251746M
094737P013X7985079350003841047508100015-21231#L01;0211053F
094751P012X1867155380003618671553800044-67462#L01;0671696E
094751P012X1933002330003119330023300031-40279#L01;0401002X
094751P012X1988015320004719880153200047-88383#L01;0880153N
095009P011X5001380290002942906702800077-59599#L01;0596824X
095009P011X5001380290002943373584200018-62397#L01;0624103Y
095009P012X1821002630004118210026300041-58062#L01;0580552K
095283P01114853882010004148538820100041-22070#L01;0222029L
095283P01331825002310002819390015600020-39198#L01;0390015E
096943P012X8139831940001681398319400016-29019#L01;0292401C
096993P01111922005820002619220058200026-22325#L01;0222038W 
096993P01218848840570001688488405700016-14118#L01;0141815X
096993P012X1988015320004719880153200047-88196#L01;0881664F
096995P01218848840570001688488405700016-14118#L01;0141815X
097049P011X1859216160005718592161600057-62427#L01;0622318H
097049P011X1859216160005718592161600057-62510#L01;0624470X
097049P011X5001380290002982466350400010-59183#L01;0596188F
097049P01221876090940002919500032800011-50129#L01;0500032N
097049P012X1859216160005718592161600057-59033#L01;0596705T
097049P012X1859216160005718592161600057-59606#L01;0594624F
097049P012X1908000860002619080008600026-08409#L01;0080047H
097049P012X1956002670004919560026700049-56121#L01;0561958Z
097049P01331825002310002819900004300018-90010#L01;0900236T
097049P013X1821002630004118210026300041-21425#L01;0210056X
097049P013X1859216160005718592161600057-62560#L01;0620131F
097049P013X3495860990002134958609900021-57316#L01;0573690B
097049P013X3495860990002134958609900021-57757#L01;0572698Y
097049P013X3495860990002134958609900021-88465#L01;0881721T
097049P013X3525011590001135250115900011-58194#L01;0580771Y
097049P013X3904824200002839048242000028-29019#L01;0292258X
097049P013X3904824200002839048242000028-35047#L01;0352503F
097049P013X3904824200002839048242000028-56121#L01;0561949P
097211P01114853882010004148538820100041-29220#L01;0292375Z
097211P012X1922005820002619220058200026-22093#L01;0222012T
097211P013X7834151100001578341511000015-55551#L01;0550892W
097311P012X7834151100001578341511000015-55551#L01;0550892W
098569P01113054050450126230540504501262-56260#L01;0561978W
098569P01113054050450152830540504501528-63124#L01;0631959M
098569P01113054050450210430540504500694-29019#L01;0292374Y
098569P012X3054050450066030540504500660-42218#L01;0422306D
098569P012X3054050450169230540504501692-11262#L01;0111083T
098569P012X3054050450201330540504502013-71270#L01;0711945D
098569P012X3054050450232830540504502328-66136#L01;0660969V
098569P012X3215923540012032159235400120-68295#L01;0682091D
098569P012X3813487960002438134879600024-42059#L01;0420998G
098569P012X7756801350070177568013500701-59009#L01;0596460B 
10032912X1984000530002319840005300023-84087#L01;0840763Y
100329P011X1894091050001318940910500013-94081#L01;0940129E
100329P011X5001380290002982466350400010-59183#L01;0594278E 
100329P012X1831090730003519120006200013-12089#L01;0120006S
100329P012X1859216160005718592161600057-59183#L01;0590072H
100329P012X1859216160005718592161600057-59606#L01;0590223X
100329P012X1859216160005718592161600057-62510#L01;0620113L
100329P012X1867155380003618671553800044-67544#L01;0670114K
100329P012X1984000530002319840005300023-84087#L01;0840763Y
100329P012X3004888060011230048880600112-59378#L01;0593335E 
100329P012X3495860990002134958609900021-57316#L01;0573690B
100329P012X3525011590001135250115900011-58194#L01; 0580771Y
100329P012X3904824200002839048242000028-29019#L01;0292258X
100329P012X3904824200002839048242000028-35047#L01;0352503F
100329P012X3904824200002839048242000028-56121#L01;0561949P
100329P022X3029089830002630290898300026-02691#L01;0021740F 
100355P012X1831090730003519320067200015-32013#L01;0320067Z
100355P012X1867155380003618671553800044-67544#L01;0670114K
100355P012X3495860990002134958609900021-88465#L01;0881721T
100355P012X3904824200002839048242000028-56121#L01;0561949P
1003571211913320630002019133206300020-13001#L01;0130006L
1003571211913320630002019133206300020-13054#L01;0132410Z
1003571218313809360001183138093600011-83050#L01;0831760M
10035712X1913005320002219130053200022-13005#L01;0131549N
10035712X1984000530002319840005300023-84007#L01;0840004Y
100357P01111838300170023618383001700236-38185#L01;0381861S 
100357P01111863090920001019150006500039-15014#L01;0150006A
100357P01111957009920004119570099200041-57631#L01;0570099Y
100357P01115030492150002677564410700028-38544#L01;0381678T 
100357P011X1894091050001318940910500013-94052#L01;0940137N
100357P011X1905000660003919050006600039-05061#L01;0050006E
100357P011X5001380290002942906702800077-59599#L01;0592965C 
100357P011X5001380290002977562426500077-59350#L01;0593117T 
100357P011X5001380290002978351618000040-59043#L01;0593063J 
100357P012X1300172700082313001727000823-75117#L01;0755902H 
100357P012X1300224520003613002245200036-16102#L01;0160757L
100357P012X1300226760003013002267600030-68224#L01;0681948Y
100357P012X1831090730003519090003500063-09121#L01;0090003E
100357P012X1831090730003519310039300019-31555#L01;0310039Z
100357P012X1853004490001318530044900013-53130#L01;0531018U
100357P012X1859216160005718592161600057-59009#L01;0594375K
100357P012X1859216160005718592161600057-59295#L01;0590102R
100357P012X1859216160005718592161600057-59350#L01;0590258K
100357P012X1859216160005718592161600057-59512#L01;0590185F 
100357P012X1859216160005718592161600057-62160#L01;0622949U 
100357P012X1859216160005718592161600057-62427#L01;0623328F 
100357P012X1867155380003618671553800044-67437#L01;0670058Z
100357P012X1867155380003618671553800044-67544#L01;0670114K
100357P012X1876090940002919140014200045-14327#L01;0141796B
100357P012X1877091830023518770918300235-77014#L01;0771914M
100357P012X1880086430002818800864300028-02691#L01;0020050U 
100357P012X1880086430002818800864300028-60157#L01;0600013N 
100357P012X1887370350002518873703500025-19272#L01;0190032G
100357P012X1887370350002518873703500025-87085#L01;0871055Z 
100357P012X1897421170009718974211700097-97411#L01;9740983A
100357P012X1901001640002819010016400028-01283#L01;0010034G
100357P012X1912002450002219120024500022-81004#L01;0810005R
100357P012X1913005320002219130053200022-13005#L01;0131549N
100357P012X1913320630002019133206300020-13001#L01;0130006L
100357P012X1913320630002019133206300020-13054#L01;0132410Z
100357P012X1931004430002019310044300020-31555#L01;0313047U
100357P012X1935003030003019350030300030-35238#L01;0352996S
100357P012X1957005700003719570057000037-57463#L01;0572728F
100357P012X1969164490002419691644900024-01427#L01;0011276G
100357P012X1969286670002719690042700010-69388#L01;0690042W
100357P012X1984000530002319840005300023-84007#L01;0840004Y
100357P012X3262983460004932629834600049-29051#L01;0292416U
100357P012X3262983460005632629834600056-29019#L01;0292417V
100357P012X3292245620060632922456200606-33039#L01;0333405X
100357P012X3292245620063032922456200267-06088#L01;0061610T
100357P012X3418207770003334182077700033-77058#L01;0772275E
100357P012X3418207770003334182077700033-77284#L01;0772153X
100357P012X3418207770003334182077700033-94042#L01;0942354Y
100357P012X3511911190016035119111900160-35238#L01;0353005B
100357P012X3511911190016035119111900277-56260#L01;0562005A
100357P012X3511911190016035119111900285-14566#L01;0142395C
100357P012X3511911190030135119111900301-53054#L01;0531021X
100357P012X3783565540003037835655400030-84007#L01;0840077C
100357P012X3813487960002438134879600024-01053#L01;0010016M
100357P012X3813487960002438134879600024-42059#L01;0420998G
100357P012X3813487960002438134879600024-69387#L01;0694286J
100357P012X3904824200002839048242000028-35047#L01;0352503F
100357P012X3933377380004039333773800040-75119#L01;0753815P 
100357P012X3944545160002977838286100012-39198#L01;0391146J
100357P012X3975808790005439758087900054-69387#L01;0694430R
100357P012X3994539430005839945394300066-06079#L01;0062116T
100357P012X4013258320008740132583200087-92044#L01;0922794M
100357P012X4101411960005641014119600106-69382#L01;0694378J
100357P012X4101411960015541014119600155-59350#L01;0597156H 
100357P012X4129844940001041298449400010-78644#L01;0783553N
100357P012X4178783370004341787833700043-06088#L01;0062201K
100357P012X4189553810005241895538100045-83107#L01;0831692N
100357P012X4189553810005241895538100052-83144#L01;0831693P
100357P012X4238063550020642380635500099-83137#L01;0830662U
100357P012X4241754610002142417546100021-44184#L01;0442632X
100357P012X4332642070002143326420700021-64129#L01;0640184C
100357P012X4378087690004043780876900040-33281#L01;0333233K
100357P012X4405729150002144057291500021-83137#L01;0831738N
100357P012X4444720210001332548695900035-85191#L01;0850130E
100357P012X4523595160002145235951600021-91377#L01;0912263R
100357P012X4806458600006948064586000069-69266#L01;0694228W
100357P012X4933005600001578238214700018-40088#L01;0401016M 
100357P012X5030492150002677634558900043-42187#L01;0420974F
100357P012X5030492150002677660869700053-74225#L01;0741469V
100357P012X5038357610003550383576100035-93066#L01;0932645V
100357P012X5048976870002750489768700027-97209#L01;9720926Z
100357P012X5275735130002752757351300043-21231#L01;0212245B
100357P012X5315077390001353150773900013-92044#L01;0922730T
100357P012X7755583070009330154944000024-13001#L01;0133395V
100357P012X7755583070009334336336200017-13103#L01;0132922F
100357P012X7755583070009378275577100030-13106#L01;0131675A
100357P012X7782105260001978991028800024-58194#L01;0580071M
100357P012X7829474020001578294740200015-13212#L01;0132828D
100357P012X7832024680002278320246800030-84007#L01;0841150U
100357P012X7946372800002379463728000023-06088#L01;0062221G
100357P012X8004763680002580047636800025-59346#L01;0597013C 
100357P012X8174267450002981742674500029-17415#L01;0171651C
100357P012X8313809360001183138093600011-83050#L01;0831760M
100357P012X8484102540001784841025400017-62498#L01;0624515W
100357P012X8525705060001885257050600018-75108#L01;0756074V
100357P012X8812896720002788128967200027-67447#L01;0673151L
100357P012X8838776490001178834821700027-49331#L01;0490840X
100357P012X8845852580001280337752200021-69266#L01;0694434V
100357P012X8848840570001688488405700016-14118#L01;0141815X
100359P011X5001380290002977563016300019-62041#L01;0622196A
100359P012X1859216160005718592161600057-59350#L01;0590125R 
100359P012X1859216160005718592161600057-62126#L01;0623902E 
100359P012X1859216160005718592161600057-62826#L01;0622807P 
100359P012X1894091050001318940910500013-94071#L01;0942130E
100359P012X1901001640002819010016400028-01033#L01;0010006B 
100359P012X1931004430002019310046800019-31555#L01;0310046G
100359P012X1988015320004719880153200047-88196#L01;0881664F
100359P012X3932481900002639324819000026-78297#L01;0781578S
100359P012X4332642070002143326420700021-64129#L01;0640189H 
100359P012X4444720210001332548695900035-85191#L01;0850130E
100359P012X7756887990061577568879900615-75116#L01;0756019K
100359P013X1877091830023518770918300235-77014#L01;0771914M
100359P022X4853882010004148538820100041-29019#L01;0290340M
100361P012X1300237400043913002374000439-59183#L01;0596250Y 
100361P012X1859216160005718592161600057-59350#L01;0590125R 
100361P012X1859216160005718592161600057-62126#L01;0623902E 
100361P012X1859216160005718592161600057-62826#L01;0622807P 
100361P012X1894091050001318940910500013-94071#L01;0942130E
100361P012X1901001640002819010016400028-01033#L01;0010006B
100361P012X1988015320004719880153200047-88196#L01;0881664F
100361P012X3932481900002639324819000026-78297#L01;0781578S
100361P012X4332642070002143326420700021-64129#L01;0640189H
100361P012X4444720210001332548695900035-85191#L01;0850130E
100361P012X7756887990061577568879900615-75116#L01;0756019K
100361P012X8848840570001688488405700016-14118#L01;0141815X
100361P013X1877091830023518770918300235-77014#L01;0771914M
100361P022X4853882010004148538820100041-29019#L01;0290340M
100363P012X1859216160005718592161600057-62126#L01;0623902E 
100363P012X1859216160005718592161600057-62826#L01;0622807P 
100363P012X1877091830023518770918300235-77014#L01;0771914M
100363P012X3932481900002639324819000026-78297#L01;0781578S
100363P012X8848840570001688488405700016-14118#L01;0141815X
1003651218313809360001183138093600011-83061#L01;0831760M
10036512X1913005320002219130053200022-13208#L01;0130036U
100365P011X1880086430002818800864300028-60057#L01;0600001A 
100365P012X1821002630004118210026300041-21231#L01;0210017E
100365P012X1821002630004118210026300041-58194#L01; 0580032V
100365P012X1831090730003519310039300019-31555#L01;0310039Z
100365P012X1838300170023618383001700236-38185#L01;0381861S
100365P012X1859216160005718592161600057-59350#L01;0590258K 
100365P012X1859216160005718592161600057-59512#L01;0590185F 
100365P012X1859216160005718592161600057-59606#L01;0590221V 
100365P012X1859216160005718592161600057-62119#L01;0620040G
100365P012X1859216160005718592161600057-62160#L01;0622949U 
100365P012X1859216160005718592161600057-62427#L01;0620093P 
100365P012X1867155380003618671553800044-67180#L01;0670024M
100365P012X1887370350002518873703500025-19272#L01;0190032G
100365P012X1887370350002518873703500025-87085#L01;0871055Z 
100365P012X1897421170007118974211700071-97407#L01;9741242G
100365P012X1897421170009718974211700097-97411#L01;9740983A
100365P012X1913005320002219130053200022-13208#L01;0130036U
100365P012X1913320630002019133206300020-13001#L01;0130001F
100365P012X1913320630002019133206300020-13117#L01;0133288D
100365P012X1933002330003119330023300031-64445#L01;0640058R
100365P012X1933002330003119330126400019-33522#L01;0330126H
100365P012X1935003030003019350030300030-35238#L01;0352996S
100365P012X1957005700003719570057000037-57463#L01;0572728F
100365P012X1957009920004119570099200041-57227#L01;0570030Y
100365P012X3418207770003334182077700033-77284#L01;0772153X
100365P012X3418207770003334182077700033-77288#L01;0771238C
100365P012X3418207770003334182077700033-93051#L01;0932036H
100365P012X3418207770003334182077700033-94068#L01;0940878U
100365P012X3492918980001434929189800014-91114#L01;0910843X
100365P012X3511911190016035119111900160-35238#L01;0353005B
100365P012X3944545160002953329492200067-90010#L01;0900029T
100365P012X4013258320007940132583200079-92040#L01;0922653J
100365P012X4032977320002240329773200022-92040#L01;0922377J
100365P012X4238063550020642380635500099-83137#L01;0830662U
100365P012X4378087690004043780876900040-33281#L01;0333233K
100365P012X4444720210001332548695900035-85191#L01;0850130E
100365P012X4521194980002345211949800023-94065#L01;0942263Z
100365P012X4523595160002145235951600021-91377#L01;0912263R
