IDCC;Opérateur de compétences;Libellé;obs
1391;OPCO entreprises et salariés des services à forte intensité de main-d'œuvre;Convention collective régionale concernant le personnel de l'industrie, de la manutention et du nettoyage sur les aéroports ouverts à la circulation publique de la région parisienne;
1396;OCAPIAT;Convention collective nationale pour les industries de produits alimentaires élaborés;
1404;OPCO entreprises de proximité;Convention collective nationale des entreprises de commerce, de location et de réparation de tracteurs, machines et matériels agricoles, de matériels de travaux publics, de bâtiment et de manutention, de matériels de motoculture de plaisance, de jardins et d'espaces verts (SEDIMA);
1405;OCAPIAT;Convention collective nationale des entreprises d'expédition et d'exportation de fruits et légumes;
1408;OPCO entreprises de proximité;Convention collective nationale des entreprises du négoce et de distribution de combustibles solides, liquides, gazeux et produits pétroliers;
1411;OPCO 2i;Convention collective nationale de la fabrication de l'ameublement;
1412;OPCO entreprises de proximité;Convention collective nationale des entreprises d'installation sans fabrication, y compris entretien, réparation, dépannage de matériel aéraulique, thermique, frigorifique et connexes;
1413;OPCO entreprises et salariés des services à forte intensité de main-d'œuvre;Accord national professionnel relatif aux salariés permanents des entreprises de travail temporaire;
1420;OPCO Cohésion sociale;Convention collective nationale du travail du personnel des organismes créés pour l'application de la convention du 31 décembre 1958 UNEDIC ASSEDIC;Arrêté du 9 mai 2019 (JO du 1er juin 2019)
1423;OPCO 2i;Convention collective nationale des entreprises relevant de la navigation de plaisance;
1424;OPCO Mobilité;Convention collective nationale des réseaux de transports publics urbains de voyageurs;
1431;OPCO Commerce;Convention collective nationale de l'optique-lunetterie de détail;
1468;OPCO ATLAS;Convention collective de branche du Crédit mutuel;
1480;AFDAS;Convention collective nationale de travail des journalistes;
1483;OPCO entreprises de proximité;Convention collective nationale du commerce de détail de l'habillement et des articles textiles;
1486;OPCO ATLAS;Convention collective nationale applicable au personnel des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils (BET, SYNTEC);
1487;OPCO Commerce;Convention collective nationale du commerce de détail de l'horlogerie-bijouterie;
1492;OPCO 2i;Convention collective nationale des ouvriers, employés, dessinateurs, techniciens et agents de maîtrise de la production des papiers, cartons et celluloses;
1495;OPCO 2i;Convention collective nationale pour les ouvriers, employés, dessinateurs, techniciens et agents de maîtrise de la transformation des papiers, cartons et celluloses;
1499;OPCO entreprises de proximité;Convention collective nationale de la miroiterie, de la transformation et du négoce du verre;
1501;OPCO entreprises et salariés des services à forte intensité de main-d'œuvre;Convention collective nationale de la restauration rapide (restauration livrée);
1504;OPCO entreprises de proximité;Convention collective nationale de la poissonnerie (commerce de détail, de demi-gros et de gros de la poissonnerie);
1505;OPCO Commerce;Convention collective nationale du commerce de détail de fruits et légumes, épicerie et produits laitiers;
1512;OPCO entreprises de proximité;Convention collective nationale de la promotion immobilière;
1513;OCAPIAT;Convention collective nationale des activités de production des eaux embouteillées, des boissons rafraîchissantes sans alcool et de bière;
1516;OPCO entreprises et salariés des services à forte intensité de main-d'œuvre;Convention collective nationale des organismes de formation;
1517;OPCO Commerce;Convention collective nationale des commerces de détail non alimentaires : antiquités, brocante, galeries d'art, arts de la table, coutellerie, droguerie, équipement du foyer, bazars, commerces ménagers, modélisme, jeux, jouets, périnatalité et maroquinerie (œuvres d'art);
1518;OPCO Cohésion sociale;Convention collective nationale de l'animation;
1527;OPCO entreprises de proximité;Convention collective nationale de l'immobilier;
1534;OCAPIAT;Convention collective nationale des entreprises de l'industrie et des commerces en gros des viandes;
1536;OPCO Mobilité;Convention collective nationale des distributeurs conseils hors domicile (entrepositaires-grossistes, bières, eaux minérales et de table, boissons gazeuses, non gazeuses, sirops, jus de fruits, CHD);
1539;OPCO Commerce;Convention collective nationale des commerces de détail de papeterie, fournitures de bureau, de bureautique et informatique [et de librairie];
1555;OPCO 2i;Convention collective nationale de la fabrication et du commerce des produits à usage pharmaceutique, parapharmaceutique et vétérinaire;
1557;OPCO Commerce;Convention collective nationale du commerce des articles de sports et d'équipements de loisirs;
1558;OPCO 2i;Convention collective nationale relative aux conditions de travail du personnel des industries céramiques de France;
1563;AFDAS;Convention collective des cadres de la presse hebdomadaire régionale d'information;
1580;OPCO 2i;Convention collective nationale de l'industrie de la chaussure et des articles chaussants;
1586;OCAPIAT;Convention collective nationale de l'industrie de la salaison, charcuterie en gros et conserves de viandes;
1588;OPCO Cohésion sociale;Convention collective du personnel des sociétés coopératives d'HLM;
1589;OPCO entreprises de proximité;Convention collective nationale des mareyeurs-expéditeurs;
1596;OPCO Construction;Convention collective nationale concernant les ouvriers employés par les entreprises du bâtiment visées par le décret du 1er mars 1962;
1597;OPCO Construction;Convention collective nationale concernant les ouvriers employés par les entreprises du bâtiment non visées par le décret 1er mars 1962;
1605;OPCO entreprises de proximité;Convention collective nationale des entreprises de désinfection, désinsectisation, dératisation;
1606;OPCO Commerce;Convention collective nationale du bricolage, vente au détail en libre-service;
1607;OPCO 2i;Convention collective nationale des industries des jeux, jouets, articles de fêtes et ornements de Noël, articles de puériculture et voitures d'enfants modélisme et industries connexes;
1611;OPCO entreprises de proximité;Convention collective nationale des entreprises de logistique de communication écrite directe;
1618;AFDAS;Convention collective du camping ;Arrêté du 9 mai 2019 (JO du 1er juin 2019)
1619;OPCO entreprises de proximité;Convention collective nationale des cabinets dentaires;
1621;OPCO entreprises de proximité;Convention collective nationale de la répartition pharmaceutique;
1631;AFDAS;Convention collective nationale de l'hôtellerie de plein air;
1659;OCAPIAT;Convention collective nationale du rouissage teillage du lin;
1671;OPCO entreprises et salariés des services à forte intensité de main-d'œuvre;Convention collective nationale des maisons d'étudiants;
1672;OPCO ATLAS;Convention collective nationale des sociétés d'assurances;
1679;OPCO ATLAS;Convention collective nationale de l'inspection d'assurance;
1686;OPCO Commerce;Convention collective nationale des commerces et services de l'audiovisuel, de l'électronique et de l'équipement ménager;
1702;OPCO Construction;Convention collective nationale des ouvriers de travaux publics;
1710;OPCO Mobilité;Convention collective nationale du personnel des agences de voyages et de tourisme;
1734;AFDAS;Convention collective des artistes-interprètes engagés pour des émissions de télévision;
1747;OCAPIAT;Convention collective des activités industrielles de boulangerie et de pâtisserie;
1760;OPCO Commerce;Convention collective nationale des jardineries et graineteries;
1790;AFDAS;Convention collective nationale des espaces de loisirs, d'attractions et culturels;
1794;OPCO Cohésion sociale;Convention collective nationale du personnel des institutions de retraites complémentaires;
1801;OPCO ATLAS;Convention collective nationale des sociétés d'assistance;
1821;OPCO 2i;Convention collective nationale des professions regroupées du cristal, du verre et du vitrail;
1850;OPCO entreprises de proximité;Convention collective de l'avocat salarié;
1874;AFDAS;Convention collective nationale des cadres, techniciens et agents de maîtrise de la presse d'information spécialisée du 1er juillet 1995;
1875;OPCO entreprises de proximité;Convention collective nationale des cabinets et cliniques vétérinaires : personnel salarié;
1880;OPCO Commerce;Convention collective nationale du négoce de l'ameublement;
1895;AFDAS;Convention collective de l'encadrement de la presse quotidienne régionale;
1909;AFDAS;Convention collective nationale des organismes de tourisme;
1921;OPCO entreprises de proximité;Convention collective nationale des huissiers de justice;
1922;AFDAS;Convention collective nationale de la radiodiffusion;
1930;OCAPIAT;Convention collective nationale des métiers de la transformation des grains (ex meunerie);
1938;OCAPIAT;Convention collective nationale des industries de la transformation des volailles (abattoirs, ateliers de découpe et centres de conditionnement de volailles, commerce de gros de volailles);
1944;OPCO entreprises et salariés des services à forte intensité de main-d'œuvre;Convention collective nationale du personnel navigant technique des exploitants d'hélicoptères;
1947;OPCO Construction;Convention collective nationale du négoce de bois d'œuvre et produits dérivés;
1951;OPCO entreprises de proximité;Convention collective nationale des cabinets ou entreprises d'expertises en automobile;
1974;OPCO Mobilité;Convention collective nationale du personnel des entreprises de transport de passagers en navigation intérieure;
1978;OPCO entreprises de proximité;Convention collective nationale des fleuristes, de la vente et des services des animaux familiers;
1979;OPCO entreprises et salariés des services à forte intensité de main-d'œuvre;Convention collective nationale des hôtels, cafés, restaurants (HCR);
1982;OPCO entreprises de proximité;Convention collective nationale du négoce et prestations de services dans les domaines médico-techniques;
1987;OCAPIAT;Convention collective nationale des pâtes alimentaires sèches et du couscous non préparé;
1996;OPCO entreprises de proximité;Convention collective nationale de la pharmacie d'officine;
2002;OPCO entreprises et salariés des services à forte intensité de main-d'œuvre;Convention collective interrégionale de la blanchisserie, laverie, location de linge, nettoyage à sec, pressing et teinturerie;
2021;AFDAS;Convention collective nationale du golf;
2046;OPCO Santé;Convention collective nationale du personnel non médical des centres de lutte contre le cancer;
2060;OPCO entreprises et salariés des services à forte intensité de main-d'œuvre;Convention collective nationale des chaînes de cafétérias et assimilés;
2075;OCAPIAT;Convention collective nationale des centres immatriculés de conditionnement, de commercialisation et de transformation des œufs et des industries en produits d'œufs;
2089;OPCO 2i;Convention collective nationale de l'industrie des panneaux à base de bois;
2098;OPCO entreprises de proximité;Convention collective nationale du personnel des prestataires de services dans le domaine du secteur tertiaire;
2101;OPCO entreprises et salariés des services à forte intensité de main-d'œuvre;Convention collective nationale de l'enseignement privé à distance;
2104;OPCO Santé;Convention collective nationale du thermalisme ;Arrêté du 9 mai 2019 (JO du 1er juin 2019)
2111;OPCO entreprises de proximité;Convention collective nationale des salariés du particulier employeur;
2120;OPCO ATLAS;Convention collective de la banque;
2121;AFDAS;Convention collective nationale de l'édition;
2128;OPCO Cohésion sociale;Convention collective nationale de la mutualité;
2147;OPCO entreprises et salariés des services à forte intensité de main-d'œuvre;Convention collective des entreprises des services d'eau et d'assainissement (entreprises en gérance, en concession ou en affermage assurent l'exploitation, le service, le pompage, le traitement et la distribution d'eau à usage public, particulier, domestique, agricole);
2148;AFDAS;Convention collective nationale des télécommunications;
2149;OPCO entreprises et salariés des services à forte intensité de main-d'œuvre;Convention collective nationale des activités du déchet;
2150;OPCO Cohésion sociale;Convention collective nationale des personnels des sociétés anonymes et fondations d'HLM;
2156;OPCO Commerce;Convention collective nationale des grands magasins et des magasins populaires;
2174;OPCO Mobilité;Convention collective nationale du personnel sédentaire des entreprises de transports de marchandises de la navigation intérieure;
2190;OPCO Cohésion sociale;Convention collective nationale des missions locales et PAIO des maisons de l'emploi et PLIE;
2198;OPCO Commerce;Convention collective nationale des entreprises de vente à distance;
2205;OPCO entreprises de proximité;Convention collective du notariat;
2216;OPCO Commerce;Convention collective nationale du commerce de détail et de gros à prédominance alimentaire (entrepôts d'alimentation, supérettes, supermarchés, hypermarchés, grande distribution);
2219;OPCO entreprises de proximité;Convention collective des taxis - 4932Z;
2230;OPCO ATLAS;Convention collective des associations agréées de surveillance de la qualité de l'air ;Arrêté du 9 mai 2019 (JO du 1er juin 2019)
2247;OPCO ATLAS;Convention collective des entreprises de courtage d'assurances et/ou de réassurances;
2257;AFDAS;Convention collective nationale des casinos;
2264;OPCO Santé;Convention collective de l'hospitalisation privée (CCU, FHP, établissements pour personnes âgées, maison de retraite, établissements de suite et réadaptation, médicaux pour enfants et adolescents, UHP, sanitaires sociaux et médico-sociaux CRRR, hospitalisation privé à but lucratif FIEHP);
2272;OPCO entreprises de proximité;Convention collective nationale de l'assainissement et de la maintenance industrielle;
2329;OPCO entreprises de proximité;Accord professionnel national de travail entre les avocats au Conseil d'Etat et à la Cour de Cassation et leur personnel salarié -non avocat-;
2332;OPCO entreprises de proximité;Convention nationale des entreprises d'architecture;
2335;OPCO ATLAS;Convention collective nationale du personnel des agences générales d'assurances;
2336;OPCO Cohésion sociale;Convention collective nationale des organismes gestionnaires de foyers et services pour jeunes travailleurs;
2357;OPCO ATLAS;Accord du 3 mars 1993 relatif aux cadres de direction des sociétés d'assurances;
2372;AFDAS;Convention collective nationale des entreprises de la distribution directe;
